               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.103,             0.24305,                   0,             0.33427,             0.63634,             0.37201,             0.11317,             0.07797,             0.16174,                   0,            0.070612,           0.0032653,           0.0032653
                   1,            0.078239,             0.20808,                   0,             0.40015,              0.7359,              0.4945,             0.12905,            0.083206,             0.16899,                   0,             0.04059,           0.0065769,           0.0065769
                   2,            0.072635,             0.19937,                   0,             0.59296,             0.85859,              0.8393,             0.32875,            0.063648,             0.16467,                   0,            0.010547,           0.0098664,           0.0098664
                   3,            0.065617,             0.18984,                   0,             0.88001,             0.89804,             0.93542,             0.54012,            0.057887,             0.14662,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.061226,             0.17615,                   0,             0.97211,             0.94325,             0.97654,             0.64419,             0.05026,             0.10185,                   0,            0.009901,            0.009901,            0.009901
                   5,             0.05802,             0.16629,                   0,             0.96759,             0.95766,             0.98101,             0.72153,            0.048598,             0.10565,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.056902,             0.16423,                   0,             0.98749,             0.96014,             0.98213,             0.76699,            0.046165,            0.090775,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.055757,             0.16004,                   0,             0.98964,             0.96411,             0.98304,             0.75978,            0.046739,            0.099091,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.055328,             0.15803,                   0,              0.9836,             0.96553,             0.98421,                0.78,              0.0451,            0.086327,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.054278,              0.1539,                   0,             0.98077,             0.96888,             0.98311,             0.78758,            0.045084,            0.094757,                   0,            0.009736,            0.009736,            0.009736
                  10,             0.05365,             0.15377,                   0,             0.97638,             0.95302,             0.97821,               0.789,            0.044479,             0.09285,                   0,            0.009703,            0.009703,            0.009703
                  11,             0.05324,             0.14831,                   0,             0.98499,             0.97115,             0.98383,             0.79528,            0.044488,            0.088905,                   0,             0.00967,             0.00967,             0.00967
                  12,             0.05298,             0.14889,                   0,             0.98664,             0.97055,             0.98704,               0.807,            0.043393,            0.087784,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.052498,             0.14601,                   0,             0.98711,             0.96784,             0.98449,             0.81152,            0.044361,            0.085526,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.052097,              0.1468,                   0,             0.99118,             0.97448,             0.98538,             0.79101,            0.044401,            0.087334,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.052314,             0.14335,                   0,             0.98674,             0.95565,             0.98263,             0.79855,            0.043897,            0.091385,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.051595,             0.14479,                   0,             0.98616,             0.96858,             0.98523,             0.81179,            0.043556,            0.084358,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.051918,             0.14207,                   0,             0.98857,             0.97091,             0.98476,             0.80117,            0.044287,            0.089493,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.051255,             0.14208,                   0,             0.98851,             0.97461,             0.98438,             0.81126,            0.043489,            0.086929,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.051784,             0.14417,                   0,             0.99244,              0.9696,             0.98499,             0.80554,            0.044076,              0.0886,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.051405,             0.14352,                   0,             0.99162,              0.9746,             0.98955,             0.82448,            0.042259,            0.080162,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.051709,             0.14225,                   0,             0.99185,             0.97257,               0.983,             0.81862,            0.042727,            0.083443,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.051239,             0.14088,                   0,             0.99257,              0.9721,             0.98346,             0.81788,            0.042821,            0.084007,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.051151,             0.14227,                   0,             0.99296,             0.97508,             0.98857,             0.82937,            0.042653,            0.079292,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.050509,             0.13889,                   0,             0.99146,             0.96817,             0.98489,              0.8173,            0.042655,            0.081963,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.051246,             0.13801,                   0,             0.99415,             0.97198,             0.98441,             0.82427,            0.042549,            0.082428,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.050717,             0.13803,                   0,             0.99211,             0.97492,             0.98604,             0.82399,            0.042521,            0.084053,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.050742,             0.13796,                   0,              0.9573,             0.96772,             0.98017,             0.82441,            0.042241,            0.086365,                   0,            0.009142,            0.009142,            0.009142
                  28,             0.05106,             0.13861,                   0,             0.99176,             0.97634,             0.98925,             0.82645,            0.042426,            0.082016,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.050196,             0.13492,                   0,               0.991,             0.97191,             0.98705,             0.83329,            0.042092,            0.080719,                   0,            0.009076,            0.009076,            0.009076
                  30,             0.05009,             0.13581,                   0,             0.99207,             0.97985,             0.98866,             0.82524,            0.042181,            0.081467,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.050441,             0.13553,                   0,             0.98623,             0.96526,             0.98386,             0.79695,            0.043569,            0.089462,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.050029,             0.13483,                   0,             0.99398,             0.96948,             0.98455,             0.82072,            0.042639,            0.082069,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.050509,             0.13558,                   0,             0.98738,             0.96115,             0.98008,             0.81004,            0.043196,            0.087936,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.050066,             0.13412,                   0,             0.99536,             0.97173,             0.98464,             0.81692,            0.042716,            0.083267,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.049363,             0.13491,                   0,             0.98856,             0.97889,             0.98916,             0.82758,            0.041972,            0.079391,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.049802,             0.13359,                   0,             0.99179,              0.9798,             0.98927,             0.83029,            0.042511,             0.08139,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.049509,             0.13317,                   0,             0.99128,             0.97626,             0.98851,             0.83484,             0.04199,            0.081169,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.049579,             0.13369,                   0,             0.99144,             0.98084,             0.98984,             0.83559,              0.0419,            0.079544,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.049894,             0.13435,                   0,              0.9922,             0.97052,             0.98575,             0.82785,            0.042075,            0.079773,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.049408,             0.13155,                   0,             0.98845,             0.97782,             0.98761,             0.83665,            0.041898,            0.080429,                   0,            0.008713,            0.008713,            0.008713
                  41,             0.04985,             0.13357,                   0,             0.99089,             0.97282,              0.9868,             0.83498,             0.04203,            0.081184,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.049865,             0.13419,                   0,             0.99212,              0.9777,             0.98908,             0.83367,            0.041865,            0.078789,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.049576,             0.13061,                   0,             0.99442,             0.97675,             0.98897,             0.83225,             0.04209,            0.080711,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.049322,             0.13179,                   0,             0.99406,              0.9778,             0.98872,             0.83943,            0.041411,            0.077721,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.049526,             0.13013,                   0,             0.99226,             0.97878,              0.9887,             0.84064,            0.041583,            0.078369,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.049024,             0.13154,                   0,             0.98967,             0.97902,             0.99071,             0.84171,            0.041706,            0.076729,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.049181,             0.12955,                   0,               0.996,             0.97853,              0.9907,              0.8422,            0.041492,            0.076889,                   0,            0.008482,            0.008482,            0.008482
                  48,             0.04905,             0.13077,                   0,             0.99177,             0.97728,              0.9891,             0.84571,            0.041311,            0.077156,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.048894,             0.13048,                   0,             0.99524,             0.97699,             0.98979,             0.83175,            0.042064,            0.078384,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.048677,             0.12769,                   0,             0.99251,             0.97949,             0.98782,             0.84588,            0.041163,            0.077087,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.049301,             0.13024,                   0,             0.99444,             0.97854,             0.98929,             0.85029,            0.041458,            0.076546,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.049021,             0.12815,                   0,              0.9944,             0.97985,             0.99056,             0.84127,            0.041612,            0.076828,                   0,            0.008317,            0.008317,            0.008317
                  53,             0.04917,             0.12994,                   0,             0.98974,             0.97496,             0.98734,             0.83495,            0.041753,            0.079422,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.048719,             0.12788,                   0,             0.99378,             0.97878,             0.99001,             0.84178,            0.041643,            0.077301,                   0,            0.008251,            0.008251,            0.008251
                  55,             0.04935,             0.12963,                   0,             0.99259,             0.97735,             0.98875,             0.84231,             0.04129,            0.076469,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.048853,             0.12929,                   0,             0.99124,             0.97961,             0.98827,             0.84768,            0.041155,            0.076935,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.048874,             0.12643,                   0,             0.99335,             0.98001,             0.99009,             0.84391,            0.041594,            0.076416,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.048849,             0.12663,                   0,             0.99368,             0.97997,             0.99006,             0.84522,            0.041175,            0.075821,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.048439,             0.12474,                   0,              0.9925,             0.97804,             0.98893,             0.84409,            0.041406,            0.077187,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.048288,             0.12452,                   0,             0.99455,             0.97963,             0.98729,             0.84895,            0.041352,            0.077942,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.049251,              0.1272,                   0,             0.98194,             0.96745,             0.98414,             0.82791,             0.04213,            0.081573,                   0,             0.00802,             0.00802,             0.00802
